"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit"
"TMd21",60,55.6177788206038,"Number of TCM cells","CD4","number"
"IC",8,303.286731981132,"Number of TEM cells","CD4","number"
"IC",14,107.102564963808,"Number of TEM cells","CD4","number"
"IC",28,107.608207073609,"Number of TEM cells","CD4","number"
"IC",60,35.0297140626986,"Number of TEM cells","CD4","number"
"SOL",8,2952.81911283695,"Number of TEM cells","CD4","number"
"SOL",14,317.11727425653,"Number of TEM cells","CD4","number"
"SOL",28,325.053471132106,"Number of TEM cells","CD4","number"
"SOL",60,117.796928547814,"Number of TEM cells","CD4","number"
"TM",8,9717.58083231601,"Number of TEM cells","CD4","number"
"TM",14,1119.15514757311,"Number of TEM cells","CD4","number"
"TM",28,763.156077916818,"Number of TEM cells","CD4","number"
"TM",60,98.8640689465442,"Number of TEM cells","CD4","number"
"TMd21",8,3939.22470905943,"Number of TEM cells","CD4","number"
"TMd21",14,730.305624529967,"Number of TEM cells","CD4","number"
"TMd21",28,861.646165161463,"Number of TEM cells","CD4","number"
"TMd21",60,127.695953711939,"Number of TEM cells","CD4","number"
"IC",8,6.49086152830189,"Number of TFH cells","CD4","number"
"IC",14,5.21763608757013,"Number of TFH cells","CD4","number"
"IC",28,6.98474876133066,"Number of TFH cells","CD4","number"
"IC",60,2.13456678586279,"Number of TFH cells","CD4","number"
"SOL",8,984.636379444466,"Number of TFH cells","CD4","number"
"SOL",14,57.4627429714828,"Number of TFH cells","CD4","number"
"SOL",28,71.3655376509418,"Number of TFH cells","CD4","number"
"SOL",60,3.70176844103627,"Number of TFH cells","CD4","number"
"TM",8,5685.44976756387,"Number of TFH cells","CD4","number"
"TM",14,344.708341085106,"Number of TFH cells","CD4","number"
"TM",28,173.157771365035,"Number of TFH cells","CD4","number"
"TM",60,8.98600541632761,"Number of TFH cells","CD4","number"
"TMd21",8,2017.85910087347,"Number of TFH cells","CD4","number"
"TMd21",14,303.795920240157,"Number of TFH cells","CD4","number"
"TMd21",28,210.780935336306,"Number of TFH cells","CD4","number"
"TMd21",60,14.9530892690683,"Number of TFH cells","CD4","number"
"IC",8,7.40474183136815,"Number of Th1 cells","CD4","number"
"IC",14,2.38978130863696,"Number of Th1 cells","CD4","number"
"IC",28,7.90028464338537,"Number of Th1 cells","CD4","number"
"IC",60,2.8237485242011,"Number of Th1 cells","CD4","number"
"SOL",8,94.5790563449223,"Number of Th1 cells","CD4","number"
"SOL",14,24.8006065569231,"Number of Th1 cells","CD4","number"
"SOL",28,15.3719461473225,"Number of Th1 cells","CD4","number"
"SOL",60,7.7845005272939,"Number of Th1 cells","CD4","number"
"TM",8,262.744122602797,"Number of Th1 cells","CD4","number"
"TM",14,31.0768718612027,"Number of Th1 cells","CD4","number"
"TM",28,44.7005359197617,"Number of Th1 cells","CD4","number"
"TM",60,8.3441625665478,"Number of Th1 cells","CD4","number"
"TMd21",8,103.8847582892,"Number of Th1 cells","CD4","number"
"TMd21",14,15.0383359304866,"Number of Th1 cells","CD4","number"
"TMd21",28,36.5423616565038,"Number of Th1 cells","CD4","number"
"TMd21",60,4.22306068583851,"Number of Th1 cells","CD4","number"
"IC",8,2.23105642886598,"Number of Th17","CD4","number"
"IC",14,4.15819706029412,"Number of Th17","CD4","number"
"IC",60,2.16690345180842,"Number of Th17","CD4","number"
"SOL",8,2.80557670044834,"Number of Th17","CD4","number"
"SOL",14,3.16947383209696,"Number of Th17","CD4","number"
"SOL",60,1.16445208290155,"Number of Th17","CD4","number"
"TM",8,2.97154507958932,"Number of Th17","CD4","number"
"TM",14,3.9728657352633,"Number of Th17","CD4","number"
"TM",28,4.90777397338629,"Number of Th17","CD4","number"
"TM",60,108.778517878517,"Number of Th17","CD4","number"
"TMd21",8,3.0934105398773,"Number of Th17","CD4","number"
"TMd21",14,2.26933729453319,"Number of Th17","CD4","number"
"TMd21",28,6.81319808185039,"Number of Th17","CD4","number"
"TMd21",60,3.80713095270051,"Number of Th17","CD4","number"
"IC",8,11.7581190479731,"Number of Th2 cells","CD4","number"
"IC",14,5.59382118020399,"Number of Th2 cells","CD4","number"
"IC",28,20.8739618154709,"Number of Th2 cells","CD4","number"
"IC",60,2.9356518453931,"Number of Th2 cells","CD4","number"
"SOL",8,34.0439918161259,"Number of Th2 cells","CD4","number"
"SOL",14,14.123352683834,"Number of Th2 cells","CD4","number"
"SOL",28,51.7656862621582,"Number of Th2 cells","CD4","number"
"SOL",60,12.2834987112025,"Number of Th2 cells","CD4","number"
"TM",8,60.8077504200952,"Number of Th2 cells","CD4","number"
"TM",14,12.2205316737775,"Number of Th2 cells","CD4","number"
"TM",28,66.1632576083751,"Number of Th2 cells","CD4","number"
"TM",60,4.62603243971223,"Number of Th2 cells","CD4","number"
"TMd21",8,43.084826033543,"Number of Th2 cells","CD4","number"
"TMd21",14,14.3999580228825,"Number of Th2 cells","CD4","number"
"TMd21",28,41.3503212254931,"Number of Th2 cells","CD4","number"
"TMd21",60,8.59694448024517,"Number of Th2 cells","CD4","number"
"IC",8,386.19121242881,"Number of tetramer+ cells","CD4","number"
"IC",14,151.051611259364,"Number of tetramer+ cells","CD4","number"
"IC",28,154.609492921851,"Number of tetramer+ cells","CD4","number"
