"Vaccine","Day","Median","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Median","Normalized"
"TM",14,4.3,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,2.465,1.74442190669371
"TM",28,9.495,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,2.465,3.85192697768763
"TM",60,6.995,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,2.465,2.83772819472617
"TMd21",8,3.665,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.665,1
"TMd21",14,3.365,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.665,0.918144611186903
"TMd21",28,8.55,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.665,2.33287858117326
"TMd21",60,4.585,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.665,1.25102319236016
"IC",8,564708.027585138,"Number of CD4 T cells","CD4","number",8,564708.027585138,1
"IC",14,947760.606142343,"Number of CD4 T cells","CD4","number",8,564708.027585138,1.6783196976945
"IC",28,2290704.23234976,"Number of CD4 T cells","CD4","number",8,564708.027585138,4.05644000165095
"IC",60,652730.696659995,"Number of CD4 T cells","CD4","number",8,564708.027585138,1.15587288434923
"SOL",8,811716.412998976,"Number of CD4 T cells","CD4","number",8,811716.412998976,1
"SOL",14,849959.303907771,"Number of CD4 T cells","CD4","number",8,811716.412998976,1.04711361048805
"SOL",28,2517490.67374418,"Number of CD4 T cells","CD4","number",8,811716.412998976,3.10144113563384
"SOL",60,669464.813228486,"Number of CD4 T cells","CD4","number",8,811716.412998976,0.824752096307963
"TM",8,1225631.31357626,"Number of CD4 T cells","CD4","number",8,1225631.31357626,1
"TM",14,994169.086943311,"Number of CD4 T cells","CD4","number",8,1225631.31357626,0.811148569664423
"TM",28,1939509.52939424,"Number of CD4 T cells","CD4","number",8,1225631.31357626,1.58245755302625
"TM",60,582860.042464115,"Number of CD4 T cells","CD4","number",8,1225631.31357626,0.475559033134844
"TMd21",8,1027252.05291411,"Number of CD4 T cells","CD4","number",8,1027252.05291411,1
"TMd21",14,879402.264485133,"Number of CD4 T cells","CD4","number",8,1027252.05291411,0.856072530583359
"TMd21",28,2213495.98352829,"Number of CD4 T cells","CD4","number",8,1027252.05291411,2.15477396929901
"TMd21",60,706796.376789937,"Number of CD4 T cells","CD4","number",8,1027252.05291411,0.688045718463055
"IC",8,24.2884468774168,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,24.2884468774168,1
"IC",14,9.1553655944056,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,24.2884468774168,0.376943229042701
"IC",28,24.2231280135913,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,24.2884468774168,0.997310702320525
"IC",60,5.64586888583162,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,24.2884468774168,0.232450799111453
"SOL",8,139.966274504689,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,139.966274504689,1
"SOL",14,38.7113876240704,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,139.966274504689,0.276576537891444
"SOL",28,70.5687055860957,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,139.966274504689,0.504183638778866
"SOL",60,17.0649003906345,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,139.966274504689,0.121921516101101
"TM",8,334.69449752122,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,334.69449752122,1
"TM",14,38.3560248296696,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,334.69449752122,0.114600105809142
"TM",28,99.5036654029387,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,334.69449752122,0.297296986176565
"TM",60,12.9646189565217,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,334.69449752122,0.0387356800083028
"TMd21",8,168.215569651417,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,168.215569651417,1
"TMd21",14,29.290878692013,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,168.215569651417,0.174127036829651
"TMd21",28,91.1285468386012,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,168.215569651417,0.541736695523734
"TMd21",60,7.13915914133383,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,168.215569651417,0.0424405371995462
"IC",8,84.3387479177095,"Number of TCM cells","CD4","number",8,84.3387479177095,1
"IC",14,63.043123265949,"Number of TCM cells","CD4","number",8,84.3387479177095,0.747498923359179
"IC",28,56.0359140691921,"Number of TCM cells","CD4","number",8,84.3387479177095,0.664414820621563
"IC",60,35.0665301312651,"Number of TCM cells","CD4","number",8,84.3387479177095,0.415781962585927
"SOL",8,494.520379231202,"Number of TCM cells","CD4","number",8,494.520379231202,1
"SOL",14,170.47313744071,"Number of TCM cells","CD4","number",8,494.520379231202,0.344724190549503
"SOL",28,193.724308333287,"Number of TCM cells","CD4","number",8,494.520379231202,0.391741809780331
"SOL",60,64.3065469635022,"Number of TCM cells","CD4","number",8,494.520379231202,0.130038214124715
"TM",8,1490.07731136049,"Number of TCM cells","CD4","number",8,1490.07731136049,1
"TM",14,190.65828881394,"Number of TCM cells","CD4","number",8,1490.07731136049,0.127951944077226
"TM",28,348.251784081246,"Number of TCM cells","CD4","number",8,1490.07731136049,0.233713902913723
"TM",60,54.1738510806283,"Number of TCM cells","CD4","number",8,1490.07731136049,0.036356402897757
"TMd21",8,711.571660848926,"Number of TCM cells","CD4","number",8,711.571660848926,1
"TMd21",14,174.096704198279,"Number of TCM cells","CD4","number",8,711.571660848926,0.244665033442417
"TMd21",28,266.057601140576,"Number of TCM cells","CD4","number",8,711.571660848926,0.373901345119846
"TMd21",60,55.6177788206038,"Number of TCM cells","CD4","number",8,711.571660848926,0.0781618800757891
"IC",8,303.286731981132,"Number of TEM cells","CD4","number",8,303.286731981132,1
"IC",14,107.102564963808,"Number of TEM cells","CD4","number",8,303.286731981132,0.353139632136863
"IC",28,107.608207073609,"Number of TEM cells","CD4","number",8,303.286731981132,0.354806840281768
"IC",60,35.0297140626986,"Number of TEM cells","CD4","number",8,303.286731981132,0.115500318242995
"SOL",8,2952.81911283695,"Number of TEM cells","CD4","number",8,2952.81911283695,1
"SOL",14,317.11727425653,"Number of TEM cells","CD4","number",8,2952.81911283695,0.107394751299837
"SOL",28,325.053471132106,"Number of TEM cells","CD4","number",8,2952.81911283695,0.110082419108907
"SOL",60,117.796928547814,"Number of TEM cells","CD4","number",8,2952.81911283695,0.0398930391759213
"TM",8,9717.58083231601,"Number of TEM cells","CD4","number",8,9717.58083231601,1
"TM",14,1119.15514757311,"Number of TEM cells","CD4","number",8,9717.58083231601,0.115168082147703
"TM",28,763.156077916818,"Number of TEM cells","CD4","number",8,9717.58083231601,0.0785335456514987
"TM",60,98.8640689465442,"Number of TEM cells","CD4","number",8,9717.58083231601,0.0101737326040829
"TMd21",8,3939.22470905943,"Number of TEM cells","CD4","number",8,3939.22470905943,1
"TMd21",14,730.305624529967,"Number of TEM cells","CD4","number",8,3939.22470905943,0.185393238128916
"TMd21",28,861.646165161463,"Number of TEM cells","CD4","number",8,3939.22470905943,0.218734961521705
"TMd21",60,127.695953711939,"Number of TEM cells","CD4","number",8,3939.22470905943,0.0324165192755477
"IC",8,6.49086152830189,"Number of TFH cells","CD4","number",8,6.49086152830189,1
"IC",14,5.21763608757013,"Number of TFH cells","CD4","number",8,6.49086152830189,0.803843382703489
"IC",28,6.98474876133066,"Number of TFH cells","CD4","number",8,6.49086152830189,1.0760896270665
"IC",60,2.13456678586279,"Number of TFH cells","CD4","number",8,6.49086152830189,0.328857236678907
"SOL",8,984.636379444466,"Number of TFH cells","CD4","number",8,984.636379444466,1
"SOL",14,57.4627429714828,"Number of TFH cells","CD4","number",8,984.636379444466,0.058359353941303
"SOL",28,71.3655376509418,"Number of TFH cells","CD4","number",8,984.636379444466,0.0724790787145264
"SOL",60,3.70176844103627,"Number of TFH cells","CD4","number",8,984.636379444466,0.00375952840897958
"TM",8,5685.44976756387,"Number of TFH cells","CD4","number",8,5685.44976756387,1
"TM",14,344.708341085106,"Number of TFH cells","CD4","number",8,5685.44976756387,0.0606299158690499
"TM",28,173.157771365035,"Number of TFH cells","CD4","number",8,5685.44976756387,0.0304563013383601
