"Vaccine","Day","Value","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Value","normalised"
"TMd21",28,55.8833333333333,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,26.75,2.08909657320872
"TMd21",60,53.4333333333333,"CXCR3- CCR6- Th2 (% Teff)","CD4","percentage",8,26.75,1.99750778816199
"IC",8,3.64,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,3.64,1
"IC",14,3.78333333333333,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,3.64,1.03937728937729
"IC",28,10.6633333333333,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,3.64,2.92948717948718
"IC",60,4.03333333333333,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,3.64,1.10805860805861
"SOL",8,1.065,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.065,1
"SOL",14,3.035,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.065,2.84976525821596
"SOL",28,9.68333333333333,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.065,9.09233176838811
"SOL",60,5.39916666666667,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,1.065,5.06964006259781
"TM",8,0.463333333333333,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.463333333333333,1
"TM",14,1.2975,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.463333333333333,2.80035971223022
"TM",28,5.87,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.463333333333333,12.6690647482014
"TM",60,2.62333333333333,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.463333333333333,5.66187050359712
"TMd21",8,0.978333333333333,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.978333333333333,1
"TMd21",14,1.56,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.978333333333333,1.59454855195911
"TMd21",28,4.80333333333333,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.978333333333333,4.90971039182283
"TMd21",60,3.75,"CXCR3- CCR6- Th2 (% tetramer)","CD4","percentage",8,0.978333333333333,3.83304940374787
"IC",8,19670.8268543447,"Cells/µL","CD4","number",8,19670.8268543447,1
"IC",14,29936.3533581464,"Cells/µL","CD4","number",8,19670.8268543447,1.52186553111438
"IC",28,76410.7041570962,"Cells/µL","CD4","number",8,19670.8268543447,3.88446834100515
"IC",60,19751.7686313008,"Cells/µL","CD4","number",8,19670.8268543447,1.00411481314718
"SOL",8,25657.5770638275,"Cells/µL","CD4","number",8,25657.5770638275,1
"SOL",14,26279.8879912768,"Cells/µL","CD4","number",8,25657.5770638275,1.02425446977714
"SOL",28,67524.2523033599,"Cells/µL","CD4","number",8,25657.5770638275,2.63174703267507
"SOL",60,19514.2383887202,"Cells/µL","CD4","number",8,25657.5770638275,0.760564348698057
"TM",8,48470.6907577419,"Cells/µL","CD4","number",8,48470.6907577419,1
